id,Artist,Song Title,energy,key,tempo,danceability,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature,Peak Position,Weeks on Chart,PEAK,energy,key,tempo,danceability,loudness,mode
2P91MQbaiQOfbiz9VqhqK,Lauv,I Like Me Better,0.505,9,91.97,0.752,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,197437,4,27,41,,,,,,,
3KLygy1YWhmrQx0GRs7IO,Jonas Blue,Rise,0.785,1,106.046,0.687,-4.65,1,0.0333,0.327,0,0.203,0.655,194408,4,28,20,,,,,,,
7vGuf3Y35N4wmASOKLUVV,Marshmello,Silence,0.761,4,141.971,0.52,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,180823,4,30,22,,,,,,,
1cS0TgbR263ey9jn0MwD2,Eminem,River,0.749,8,90.09,0.748,-5.916,0,0.516,0.142,0,0.0713,0.659,221013,4,32,15,,,,,,,
32lItqlMi4LBhb4k0BaSa,Post Malone,Candy Paint,0.654,4,180.024,0.67,-5.944,1,0.153,0.627,1.02E-06,0.071,0.438,227533,4,34,20,,,,,,,
7GX5flRQZVHRAGd6B4TmD,Lil Uzi Vert,XO TOUR Llif3,0.75,11,155.096,0.732,-6.366,0,0.231,0.00264,0,0.109,0.401,182707,4,35,4,,,,,,,
3V8UKqhEK5zBkBb6d6ub8,Nio Garcia,Te Bote,0.675,11,96.507,0.903,-3.445,0,0.214,0.542,1.28E-05,0.0595,0.442,417920,4,36,21,,,,,,,
0E9ZjEAyAwOXZ7wJC0PD3,Dynoro,In My Mind,0.77,6,125.905,0.694,-5.335,1,0.149,0.176,1.10E-05,0.118,0.163,184560,4,38,2,,,,,,,
5Gu0PDLN4YJeW75PpBSg9,Hailee Steinfeld,Let Me Go,0.708,8,103.073,0.663,-4.154,1,0.0473,0.0337,0,0.0841,0.742,174800,4,40,21,,,,,,,
39N9RPD9MRb5WmoLzNzPe,Nicky Jam,X,0.773,9,180.073,0.595,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,173628,4,41,21,,,,,,,
3GVkPk8mqxz0itaAriG1L,XXXTENTACION,Everybody Dies In Their Nightmares,0.57,7,129.953,0.734,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,95467,4,42,7,,,,,,,
6KuqAtoeVzxAYOaMveLNp,Daddy Yankee,Dura,0.848,1,95,0.791,-3.456,1,0.0506,0.183,0,0.409,0.828,200480,4,43,21,,,,,,,
1j4kHkkpqZRBwE0A4CN4Y,ZAYN,Dusk Till Dawn,0.437,11,180.043,0.258,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,239000,4,44,16,,,,,,,
66BjcDhhwWCcQIBxHMpKX,David Guetta,Flames,0.649,5,93.95,0.631,-5.892,0,0.0385,0.0817,3.80E-06,0.0934,0.421,194680,4,44,19,,,,,,,
2hl6q70unbviGo3g1R7uF,Luis Fonsi,Echame La Culpa,0.889,0,96.024,0.726,-3.655,1,0.0429,0.0328,0,0.0925,0.649,173720,4,47,19,,,,,,,
76cy1WJvNGJTj78UqeA5z,Dua Lipa,IDGAF,0.544,7,97.028,0.836,-5.975,1,0.0943,0.0403,0,0.0824,0.51,217947,4,49,23,,,,,,,
4kWO6O1BUXcZmaxitpVUw,Ti?sto,Jackie Chan,0.834,3,128.005,0.747,-2.867,0,0.045,0.374,0,0.0586,0.687,215760,4,52,19,,,,,,,
6kPJZM97LwdG9QIsT7khp,Clean Bandit,Solo,0.636,11,105.005,0.737,-4.546,0,0.0437,0.0441,6.66E-05,0.35,0.565,222653,4,58,13,,,,,,,
2xGjteMU3E1tkEPVFBO08,Keala Settle,This Is Me,0.704,2,191.702,0.284,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,234707,4,58,14,,,,,,,
0u2P5u6lvoDfwTYjAADbn,Billie Eilish,lovely,0.296,4,115.284,0.351,-10.109,0,0.0333,0.934,0,0.095,0.12,200186,4,64,22,,,,,,,
3Ga6eKrUFf12ouh9Yw3v2,Anitta,Downtown,0.679,4,166.008,0.775,-4.985,0,0.135,0.18,7.26E-05,0.068,0.619,193456,4,65,13,,,,,,,
5N5k9nd479b1xpDZ4usjr,Calvin Harris,Promises,0.768,11,123.07,0.781,-5.991,1,0.0394,0.0119,4.91E-06,0.325,0.486,213309,4,65,12,,,,,,,
5Y9fnynLlIvqtM710MHzf,Ozuna,Siguelo Bailando,0.664,9,98.015,0.855,-7.11,0,0.0607,0.165,3.97E-05,0.0937,0.626,226800,4,66,6,,,,,,,
2BgEsaKNfHUdlh97KmvFy,Anne-Marie,2002,0.683,1,96.133,0.697,-2.881,0,0.117,0.0372,0,0.137,0.603,186987,4,70,8,,,,,,,
4QtiVmuA88tPQiCOHZuQ5,Sofia Reyes,"1, 2, 2003",0.895,1,94.968,0.792,-3.112,0,0.0589,0.165,0,0.0501,0.794,201526,4,70,8,,,,,,,
630sXRhIcfwr2e4RdNtjK,Zac Efron,Rewrite The Stars,0.619,10,125.046,0.684,-7.005,1,0.0386,0.0716,0,0.122,0.284,217440,4,70,7,,,,,,,
2ijef6ni2amuunRoKTlgw,Becky G,Sin Pijama,0.745,11,94.014,0.791,-3.695,0,0.0464,0.354,2.93E-05,0.104,0.82,188560,4,70,12,,,,,,,
5CLGzJsGqhCEECcpnFQA8,Rudimental,These Days,0.809,0,92.213,0.653,-4.057,1,0.0474,0.194,0,0.165,0.55,210773,4,70,8,,,,,,,
6jA8JUuPCGYjFcgw0AoM5,Reik,Me Niego,0.779,0,94.023,0.777,-4.449,0,0.0972,0.0543,0,0.636,0.768,221653,4,77,3,,,,,,,
3a1lNhkSLSkpJE4MSHpDu,Post Malone,Congratulations,0.804,6,123.146,0.63,-4.183,1,0.0363,0.215,0,0.253,0.492,220293,4,78,1,,,,,,,
7K7MUBCnzgBAvMVW2RTWN,Loud Luxury,Body,0.764,1,121.958,0.752,-4.399,1,0.038,0.0476,9.44E-05,0.0543,0.582,163216,4,80,8,,,,,,,
63SevszngYpZOwf63o61K,Dennis Lloyd,Nevermind,0.691,3,99.976,0.592,-8.354,1,0.196,0.156,9.78E-06,0.418,0.0796,156600,4,86,4,,,,,,,
5cepAtqnEQ6yVG6088zMM,Maluma,Corazon,0.738,9,198.075,0.722,-6.073,0,0.247,0.328,1.47E-05,0.198,0.748,184720,4,87,9,,,,,,,
5IaHrVsrferBYDm0bDyAB,Tyga,Tast,0.559,0,97.994,0.884,-7.442,1,0.12,0.0236,0,0.101,0.342,232959,4,89,1,,,,,,,
2xmrfQpmS2iJExTlklLoA,Clean Bandit,I Miss You,0.658,3,105.076,0.638,-6.318,1,0.0456,0.245,3.77E-06,0.0919,0.33,205748,4,92,1,,,,,,,
48zFZh27QU5qsrBjn4C2F,Ozuna,Vaina Loca,0.805,6,93.983,0.754,-4.249,1,0.0752,0.315,0,0.203,0.555,176133,4,94,2,,,,,,,
6Za3190Sbw39BBC77WSS1,Natti Natasha,Criminal,0.813,2,79.997,0.814,-3.023,0,0.0561,0.03,9.33E-05,0.255,0.839,232550,4,95,3,,,,,,,
7KXjTSCq5nL1LoYtL7XAw,Kendrick Lamar,HUMBLE.,0.621,1,150.011,0.908,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,177000,4,96,1,,,,,,,
1j6xOGusnyXq3l6IryKF3,Piso 21,Dejala que vuelva,0.788,1,170.019,0.681,-4.323,1,0.0785,0.0482,0,0.0753,0.839,220117,4,97,1,,,,,,,
